page,id,name,category,spec_source,spec_count,Model,Material,Power,Wattage,IP Rating,Ingress Protection,Lumens,Luminous Flux,Light Efficiency,Battery,Battery Capacity,Solar Panel,Panel,Charging Time,Working Time,Color Temperature,CCT,Beam Angle,Input Voltage,Warranty,Certifications,Certificates,Application,Applications,Dimension,Size,Weight,CRI,Lifespan,Finish,raw_specs
product/p114.html,p114,100w waterproof ip66 high power led floodlight lens daylight white 6000k,LED Flood Light,REAL(ima),19,100w waterproof ip66 high power led floodlight lens daylight white 6000k,Aluminum Alloy,,,,IP66,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: 100w waterproof ip66 high power led floodlight lens daylight white 6000k | Rated Power: 100W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP66 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p115.html,p115,150 watt led flood light,LED Flood Light,GENERATED,18,150 watt led flood light,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: 150 watt led flood light | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p116.html,p116,High lumen led flood light 100 watt best price,LED Flood Light,GENERATED,18,High lumen led flood light 100 watt best price,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: High lumen led flood light 100 watt best price | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p117.html,p117,Outdoor energy saving 100 watt 150 watt 200 watt led flood light bulb daylight,LED Flood Light,REAL(ima),19,Outdoor energy saving 100 watt 150 watt 200 watt led flood light bulb daylight,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: Outdoor energy saving 100 watt 150 watt 200 watt led flood light bulb daylight | Rated Power: 1000W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p118.html,p118,High power 150lmw cob outdoor ip66 led tunnel light fixtures 150w,LED Flood Light,REAL(ima),19,High power 150lmw cob outdoor ip66 led tunnel light fixtures 150w,Aluminum Alloy,,,,IP66,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: High power 150lmw cob outdoor ip66 led tunnel light fixtures 150w | Rated Power: 150W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: 150LM | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP66 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p119.html,p119,High power smd adjustable outdoor led wall mount security flood lights 150 watt,LED Flood Light,GENERATED,18,High power smd adjustable outdoor led wall mount security flood lights 150 watt,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: High power smd adjustable outdoor led wall mount security flood lights 150 watt | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p120.html,p120,150lm/W IP66 waterproof 50w 100w 150w 200w 250w 300w led flood light fixtures AC85-265V,LED Flood Light,REAL(ima),19,150lm/W IP66 waterproof 50w 100w 150w 200w 250w 300w led flood light fixtures AC85-265V,Aluminum Alloy,,,,IP66,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: 150lm/W IP66 waterproof 50w 100w 150w 200w 250w 300w led flood light fixtures AC85-265V | Rated Power: 50W-100W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: 150LM | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP66 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p122.html,p122,High power high lumen 150lmw ip66 200w cob led flood light module 6500k white light exterior ligh...,LED Flood Light,REAL(ima),19,High power high lumen 150lmw ip66 200w cob led flood light module 6500k white light exterior ligh...,Aluminum Alloy,,,,IP66,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: High power high lumen 150lmw ip66 200w cob led flood light module 6500k white light exterior ligh... | Rated Power: 200W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: 150LM | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP66 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p123.html,p123,150w led tunnel light waterproof,LED Flood Light,REAL(ima),19,150w led tunnel light waterproof,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: 150w led tunnel light waterproof | Rated Power: 150W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p125.html,p125,high quality 100w 120w solar powered led flood light dusk to dawn,LED Flood Light,REAL(ima),19,high quality 100w 120w solar powered led flood light dusk to dawn,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: high quality 100w 120w solar powered led flood light dusk to dawn | Rated Power: 100W-120W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p126.html,p126,led flood light 200w,LED Flood Light,REAL(ima),19,led flood light 200w,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: led flood light 200w | Rated Power: 200W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p127.html,p127,M2-150W led flood light fixtures,LED Flood Light,REAL(ima),19,M2-150W led flood light fixtures,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: M2-150W led flood light fixtures | Rated Power: 2W-150W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p128.html,p128,outdoor led security flood lights,LED Flood Light,REAL(ima),19,outdoor led security flood lights,Aluminum Alloy,,,,IP66,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: outdoor led security flood lights | Rated Power: 100W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: 12000LM | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP66 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p13.html,p13,50w ip65 outdoor adjustable integrated motion sensor all in one led solar light street,Solar Street Light,REAL(ima),22,50w ip65 outdoor adjustable integrated motion sensor all in one led solar light street,Aluminum Alloy,,,,,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",,3 years,"RoHS, CE, ISO 9001",,,,,,,,5 years,,"Model: 50w ip65 outdoor adjustable integrated motion sensor all in one led solar light street | Rated Power: 50W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Type: LiFePO4 (Lithium iron phosphate) | Configuration: Model-specific capacity | Lifespan: 5 years | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Charging: MPPT controller, ~5h effective sunshine | Backup / Discharge: 3 rainy days; PIR + time-control dimming (100% → 30%) | Control System: Light sensor + motion sensor + time control | Ingress / Impact Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Pole Spacing: 10–20 m (model-specific) | Dimensions: Model-specific | Net Weight: Model-specific"
product/p130.html,p130,High quality high power 200w led high bay light fixtures manufacturer,LED High Bay Light,REAL(ima),19,High quality high power 200w led high bay light fixtures manufacturer,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: High quality high power 200w led high bay light fixtures manufacturer | Rated Power: 200W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: Model-specific (see rated power) | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
product/p131.html,p131,High efficiency factory warehouse industrial lighting led high bay light 50w 100w 150w 200w,LED High Bay Light,REAL(ima),19,High efficiency factory warehouse industrial lighting led high bay light 50w 100w 150w 200w,Aluminum Alloy,,,,IP65,,,,,,,,,,3000K–6500K (optional),,"Wide-angle, model-specific",AC 85–265V / 100–277V,3 years,"RoHS, CE, ISO 9001",,,,,,,,,,"Model: High efficiency factory warehouse industrial lighting led high bay light 50w 100w 150w 200w | Rated Power: 50W-100W | Material: Aluminum Alloy | Color Options: Black / Grey / White | Certifications: RoHS, CE, ISO 9001 | Warranty: 3 years | Input Voltage: AC 85–265V / 100–277V | Power Factor: &gt;0.95 | Driver: Constant-current, surge-protected | Dimming: 0–10V / DALI (optional) | LED Chip: High-efficiency SMD LEDs | Initial Luminous Flux: 110LM | Color Temperature: 3000K–6500K (optional) | Beam Angle: Wide-angle, model-specific | Ingress Protection: IP65 | Working Temperature: -20°C ~ 60°C | Mounting: 3–8 m (model-specific); wall- or pole-mount | Dimensions: Model-specific | Net Weight: Model-specific"
